Key;;;en;hr

c_language_settings__title_screen;language_settings;;Select Language;Odaberi jezik;
c_language_settings__lbl_option_primary;;;ENGLISH;ENGLESKI;
c_language_settings__lbl_option_secondary;;;HRVATSKI;HRVATSKI;
c_language_settings__lbl_option_tertiary;;;;;

c_common__btn_ok;common;;OK;UREDU;
c_common__btn_next;;;NEXT;SLJEDEĆI;
c_common__btn_back;;;Back;Natrag;
c_common__btn_done;;;DONE;GOTOVO;
c_common__btn_yes;;;Yes;Da;
c_common__btn_no;;;No;Ne;
c_common__btn_continue;;;CONTINUE;NASTAVI;
c_common__btn_confirm;;;CONFIRM;POTVRDI;
c_common__btn_delete;;;DELETE;OBRIŠI;
c_common__btn_share;;;Share;Podijeli;
c_common__btn_contact_us;;;Contact us;Kontaktiraj nas;
c_common__lbl_find_branch;;;Locate branch;Pronađi poslovnicu;
c_common__btn_close;;;Close;Zatvori;
c_common__btn_cancel;;;CANCEL;PONIŠTI;
c_common__btn_retry;;;RETRY;;
c_common__btn_approve;;;Approve;;
c_common__btn_reject;;;Reject;;
c_common__lbl_network_error;;;Network error;Greška na mreži;
c_common__lbl_no_internet_connection_error;;;No internet connection;Nema Internet veze;
c_common__lbl_general_client_error;;;General error occurred;Dogodila se greška;
c_common__title_info;;;Info;Informacije;
c_common__lbl_copied_to_clipboard;;;Copied to clipboard;Kopirano u međuspremnik;
s_common__title_currency_choose;;;Choose currency;Odaberi valutu;
s_common__lbl_amount_minimum;;;Please enter amount higher than %1$s;Molimo Vas upišite iznos veći od %1$s;
s_common__lbl_amount_minimum_inclusive;;;Please enter amount %1$s or higher;Molimo Vas upišite iznos %1$s ili veći;
s_common__lbl_amount_maximum;;;Please enter amount less than %1$s;Molimo Vas upišite iznos manji od %1$s;
s_common__lbl_amount_maximum_inclusive;;;Please enter amount %1$s or less;Molimo Vas upišite iznos %1$s ili manji;
a_common__biometric_description;;;Please verify your identity to continue;Da biste nastavili, molimo Vas potvrdite svoj identitet;
a_common__biometric_cta;;;Use PIN;Upiši PIN;
i_common__biometric_message;;;Please verify your identity to continue;Da biste nastavili, molimo Vas potvrdite svoj identitet;
s_common__biometric_auth_messsage;;;Please verify your identity to continue;Da biste nastavili, molimo Vas potvrdite svoj identitet;
s_common__btn_save;;;SAVE;SPREMI;
s_common__btn_send;;;SEND;;
s_common__lbl_select_account_;;;-;-;
s_common__lbl_select_account_BANK_ACCOUNT;;;Accounts;Računi;
s_common__lbl_select_account_SAVING_ACCOUNT;;;Savings;Štednje;
s_common__lbl_select_account_LOANS;;;Loans;Krediti;
s_common__lbl_select_account_CREDIT_CARD;;;Cards;Kartice;
s_common__lbl_select_account_DEBIT_CARD;;;Cards;Kartice;
s_common__btn_see_our_exchange_rate_and_fee;;;SEE OUR EXCHANGE RATE AND FEE;POGLEDAJTE NAŠ TEČAJ I NAKNADE;
s_common__lbl_see_our_exchange_rate_and_fee;;;SEE OUR EXCHANGE RATE AND FEE;POGLEDAJTE NAŠ TEČAJ I NAKNADE;
s_common__lbl_show_more;;;SHOW MORE;PRIKAŽI VIŠE;
s_common__lbl_show_less;;;SHOW LESS;PRIKAŽI MANJE;
s_common__lbl_validation_error_email;;;Not a valid email address;Neispravni format e-mail adrese;
s_common__lbl_validation_error_phone;;;Not a valid MSISDN formatted number;Neispravni format MSISDN broja telefona;
c_common__lbl_select_all;;;SELECT ALL;;
a_common__lbl_notification_channel;;;Notifications;;

s_common__lbl_country_name;;;-;;
s_common__lbl_country_name_australia;;;Australia;;
s_common__lbl_country_name_bosnia;;;Bosnia and Hercegovina;;
s_common__lbl_country_name_canada;;;Canada;;
s_common__lbl_country_name_HRK;;;Croatia;;
s_common__lbl_country_name_denmark;;;Denmark;;
s_common__lbl_country_name_EUR;;;European Union;;
s_common__lbl_country_name_GBP;;;Great Britain;;
s_common__lbl_country_name_hungary;;;Hungary;;
s_common__lbl_country_name_japan;;;Japan;;
s_common__lbl_country_name_norway;;;Norway;;
s_common__lbl_country_name_serbia;;;Serbia;;
s_common__lbl_country_name_CHF;;;Switzerland;;
s_common__lbl_country_name_USD;;;United States of America;;

c_prelogin__btn_lbs;prelogin;;Locations;Lokacije;
c_prelogin__btn_exchange_list;;;Exchange list;Tečajna lista;
c_prelogin__btn_messages;;;Inbox;Pretinac;
c_prelogin__btn_contacts;;;Contacts;Kontakti;
c_prelogin__btn_demo;;;Demo;Demo;
c_prelogin__btn_product_catalog;;;Products;Proizvodi;
c_prelogin__btn_login;;;LOG IN;PRIJAVA;
c_prelogin__btn_register;;;REGISTER;REGISTRACIJA;
c_prelogin__btn_mobile_token;;;mToken;mToken;
c_prelogin__btn_mcash;;;mCash;mGotovina;
c_prelogin__btn_mbalance;;;mBalance;mStanje;
c_prelogin__btn_more;;;More;Više;
c_prelogin__lbl_how_to_get_registration_codes;;;How to get registration codes?;Gdje mogu dobiti registracijske kodove?;
c_prelogin__btn_how_to_get_registration_codes;;;HOW TO GET REGISTRATION CODES?;GDJE MOGU DOBITI REGISTRACIJSKE KODOVE?;
c_prelogin__lbl_forgot_pin;;;FORGOT YOUR PIN?;ZABORAVILI STE PIN?;
c_prelogin__lbl_how_to_get_registration_codes_msg;;;For security reasons, registration code is a one-time password (i.e. you can use it only once).\n\nFirst part of registration code is delivered in numeric and QR code format. You can get it in the branch or generate it yourself via Internet Banking application.\n\nThe second part of registration code will be sent to you via SMS,after you scan or insert the first part of the code.\n\nIf you need more information, please visit the branch or contact us.;Iz sigurnosnih razloga, kodovi za registraciju su jednokratni (mogu se koristiti samo jednom).\n\nPrvi dio registracijskog koda se isporučuje u numeričkom i QR formatu. Možete ga zatražiti u poslovnici ili generirati kroz Internet Banking aplikaciju.\n\nDrugi dio registracijskog koda će Vam biti poslan putem SMS-a, nakon što upišete ili skenirate prvio dio koda.\n\nAko Vam je potrebno više informacija, molimo posjetite poslovnicu ili nas kontaktirajte.;
c_prelogin__title_forgot_pin;;;I don't remember my PIN;Ne sjećam se PIN-a;
c_prelogin__lbl_forgot_pin_msg;;;If you have forgotten your PIN, you must register the application again and set a new PIN.\n\nYou can register with your user ID and recovery code or with a new one-time registration code.\n\nYou can get a new registration code in your branch or generate it via Internet Banking.\n\nIf you need more information, please visit your branch or contact us.;Ako ste zaboravili svoj PIN, morate ponovno registrirati aplikaciju i postaviti novi PIN.\n\nMožete se registrirati sa svojim korisničkim identifikatorom i kodom za obnovu aplikacije ili s novim jednokratnim registracijskim kodom.\n\nNovi registracijski kod možete zatražiti u poslovnici ili generirati kroz Internet Banking aplikaciju.\n\nAko Vam je potrebno više informacija, molimo posjetite poslovnicu ili nas kontaktirajte.;
c_prelogin__title_welcome_unregistered;;;Welcome,;Dobrodošli,;
c_prelogin__lbl_welcome_unregistered;;;Guest!;Goste!;
c_prelogin__title_welcome_registered;;;Welcome back;Dobrodošli natrag;
c_account_locked__title_account_locked;;;Profile locked;Profil zaključan;
